,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ICP-USD,0.19598284524252796,22.0
1,XTZ-USD,ENJ-USD,2.538835439311178,13.0
2,XTZ-USD,COMP-USD,0.023716036372356485,20.0
3,XTZ-USD,SUSHI-USD,0.9058689278549448,16.0
4,XTZ-USD,BTC-USD,5.103389192983533e-05,8.0
5,XTZ-USD,DOT-USD,0.18287409180907072,21.0
6,XTZ-USD,AAVE-USD,0.014773030796204099,19.0
7,XTZ-USD,MATIC-USD,0.9525111536421081,23.0
8,ICP-USD,ZEC-USD,0.1396424402669608,8.0
9,ICP-USD,RUNE-USD,3.7703193900799192,17.0
10,ICP-USD,COMP-USD,0.1208691445695976,19.0
11,ICP-USD,ALGO-USD,24.521057848364464,10.0
12,ICP-USD,SUSHI-USD,4.6154957892978805,17.0
13,ICP-USD,ADA-USD,16.8405671950269,23.0
14,ICP-USD,UMA-USD,2.7695367657154244,15.0
15,ICP-USD,BTC-USD,0.00025969984493272416,12.0
16,ICP-USD,DOT-USD,0.9320768899427151,11.0
17,ICP-USD,MATIC-USD,4.8564707453300215,12.0
18,ICP-USD,1INCH-USD,10.610667039940251,11.0
19,ETC-USD,BCH-USD,0.15825952806710047,5.0
20,ETC-USD,COMP-USD,0.41768492912336114,11.0
21,ETC-USD,XLM-USD,239.4641928531497,20.0
22,ETC-USD,UMA-USD,9.580194611890988,5.0
23,ETC-USD,SOL-USD,0.931312672979527,15.0
24,ETC-USD,1INCH-USD,36.65946752971349,20.0
25,ZEC-USD,NEAR-USD,19.105429944443785,8.0
26,ZEC-USD,ALGO-USD,175.5876529656088,11.0
27,ZEC-USD,SUSHI-USD,33.048080421084705,16.0
28,ZEC-USD,UMA-USD,19.83440690619138,15.0
29,ZEC-USD,1INCH-USD,75.98216120781075,11.0
30,LINK-USD,ENJ-USD,15.592800660209976,24.0
31,LINK-USD,XLM-USD,83.57111548476945,13.0
32,LINK-USD,SUSHI-USD,5.5664918959511995,16.0
33,LINK-USD,UMA-USD,3.343348202683056,6.0
34,ATOM-USD,BCH-USD,0.09381646931831017,13.0
35,ATOM-USD,CELO-USD,16.43402277232843,21.0
36,ATOM-USD,ENJ-USD,26.479948653734084,14.0
37,ATOM-USD,RUNE-USD,7.720290925338267,15.0
38,ATOM-USD,FIL-USD,1.8307436184470331,10.0
39,ATOM-USD,ZRX-USD,47.74945895745282,12.0
40,ATOM-USD,TRX-USD,180.92896605109365,12.0
41,ATOM-USD,YFI-USD,0.0013020216313314945,17.0
42,ATOM-USD,COMP-USD,0.2473505874188419,17.0
43,ATOM-USD,XLM-USD,142.04060431528703,11.0
44,ATOM-USD,EOS-USD,10.449277857341148,18.0
45,ATOM-USD,NEAR-USD,5.452497936269197,20.0
46,ATOM-USD,ALGO-USD,50.18371401400468,16.0
47,ATOM-USD,XMR-USD,0.08171635764053917,15.0
48,ATOM-USD,SUSHI-USD,9.447736589742789,16.0
49,ATOM-USD,ADA-USD,34.48798074428136,15.0
50,ATOM-USD,UMA-USD,5.68815125526465,7.0
51,ATOM-USD,BTC-USD,0.0005327464177171354,7.0
52,ATOM-USD,DOT-USD,1.906702903626978,18.0
53,ATOM-USD,CRV-USD,12.18598632259483,20.0
54,ATOM-USD,SOL-USD,0.5513956635063655,18.0
55,ATOM-USD,DOGE-USD,155.52637748298397,11.0
56,ATOM-USD,LTC-USD,0.13456098138268488,11.0
57,ATOM-USD,AAVE-USD,0.15413288028724623,15.0
58,ATOM-USD,UNI-USD,1.8801461025393151,15.0
59,ATOM-USD,MATIC-USD,9.925083923529323,20.0
60,ATOM-USD,1INCH-USD,21.743649022922785,12.0
61,ATOM-USD,AVAX-USD,0.6903179707260891,18.0
62,ATOM-USD,ETH-USD,0.0076972307004594025,13.0
63,BCH-USD,RUNE-USD,82.33969593020555,15.0
64,BCH-USD,COMP-USD,2.6390572382514983,11.0
65,BCH-USD,XLM-USD,1513.0292707523863,15.0
66,BCH-USD,ADA-USD,367.81173334308204,9.0
67,BCH-USD,UMA-USD,60.53162430107379,6.0
68,BCH-USD,SOL-USD,5.884034877758801,20.0
69,BCH-USD,1INCH-USD,231.62401890105693,17.0
70,CELO-USD,ALGO-USD,3.04829663963871,11.0
71,CELO-USD,1INCH-USD,1.3189063582934064,15.0
72,ENJ-USD,SUSHI-USD,0.35675979508980865,11.0
73,ENJ-USD,UMA-USD,0.21421389400547278,9.0
74,ENJ-USD,1INCH-USD,0.8199326006068698,17.0
75,RUNE-USD,COMP-USD,0.03204881172634084,6.0
76,RUNE-USD,NEAR-USD,0.7071713315943456,14.0
77,RUNE-USD,ALGO-USD,6.5002939105861985,17.0
78,RUNE-USD,SUSHI-USD,1.2237899425395107,7.0
79,RUNE-USD,UMA-USD,0.7348347328303574,8.0
80,RUNE-USD,BTC-USD,6.893923301823566e-05,4.0
81,RUNE-USD,1INCH-USD,2.8129673258808716,15.0
82,FIL-USD,ZRX-USD,25.453825713362573,10.0
83,FIL-USD,TRX-USD,96.29331647481096,11.0
84,FIL-USD,YFI-USD,0.0006925638484268215,14.0
85,FIL-USD,COMP-USD,0.1317731289469735,12.0
86,FIL-USD,XLM-USD,75.59658521511125,11.0
87,FIL-USD,EOS-USD,5.559870773481623,13.0
88,FIL-USD,NEAR-USD,2.9090892887210997,12.0
89,FIL-USD,ALGO-USD,26.73441379525379,12.0
90,FIL-USD,XMR-USD,0.0435156123280586,12.0
91,FIL-USD,SUSHI-USD,5.040428497573625,11.0
92,FIL-USD,ADA-USD,18.375483763080737,11.0
93,FIL-USD,UMA-USD,3.0313355878958195,8.0
94,FIL-USD,BTC-USD,0.00028380850392147164,10.0
95,FIL-USD,DOT-USD,1.0165559401518527,12.0
96,FIL-USD,CRV-USD,6.493692674347005,13.0
97,FIL-USD,SOL-USD,0.2935910685931192,12.0
98,FIL-USD,DOGE-USD,84.84108713992912,5.0
99,FIL-USD,LTC-USD,0.0717204339844521,10.0
100,FIL-USD,AAVE-USD,0.08211549817318153,11.0
101,FIL-USD,UNI-USD,1.0018791804614293,11.0
102,FIL-USD,MATIC-USD,5.295512922011292,12.0
103,FIL-USD,1INCH-USD,11.58053768291659,11.0
104,FIL-USD,AVAX-USD,0.3681379734531594,12.0
105,FIL-USD,ETH-USD,0.004098664736925979,11.0
106,ZRX-USD,BTC-USD,1.1141222936057287e-05,7.0
107,ZRX-USD,LTC-USD,0.0028135395292172654,13.0
108,TRX-USD,UMA-USD,0.031373935681778785,11.0
109,TRX-USD,ETH-USD,4.253855872244458e-05,5.0
110,COMP-USD,NEAR-USD,22.064750224828515,11.0
111,COMP-USD,ALGO-USD,202.8043517146426,8.0
112,COMP-USD,ADA-USD,139.33608256429778,8.0
113,COMP-USD,DOT-USD,7.708314249707696,11.0
114,COMP-USD,SOL-USD,2.2295539024719555,5.0
115,COMP-USD,AAVE-USD,0.6225888842961641,24.0
116,COMP-USD,1INCH-USD,87.75803339463748,14.0
117,XLM-USD,ADA-USD,0.24298137089042446,22.0
118,NEAR-USD,ALGO-USD,9.189399198186983,6.0
119,NEAR-USD,ADA-USD,6.3117920537920185,24.0
120,NEAR-USD,UMA-USD,1.038100849859072,11.0
121,NEAR-USD,SOL-USD,0.10100922021411016,11.0
122,NEAR-USD,1INCH-USD,3.9759410557117816,13.0
123,ALGO-USD,UMA-USD,0.11300646306045846,9.0
124,ALGO-USD,BTC-USD,1.0596386627087253e-05,8.0
125,ALGO-USD,SOL-USD,0.010990723848084943,9.0
126,ALGO-USD,1INCH-USD,0.43272257131472663,9.0
127,XMR-USD,UMA-USD,69.39387604762842,13.0
128,XMR-USD,UNI-USD,22.999468037547278,22.0
129,SUSHI-USD,UMA-USD,0.6002941662408489,8.0
130,SUSHI-USD,DOT-USD,0.2018443500377878,11.0
131,SUSHI-USD,AAVE-USD,0.016302715315182126,16.0
132,SUSHI-USD,1INCH-USD,2.2980525635204536,13.0
133,ADA-USD,UMA-USD,0.1645209397616567,7.0
134,ADA-USD,DOT-USD,0.05531420596945289,14.0
135,ADA-USD,AAVE-USD,0.0044680990645155445,9.0
136,ADA-USD,MATIC-USD,0.28818667274921717,16.0
137,ADA-USD,1INCH-USD,0.6297153304891333,15.0
138,UMA-USD,DOT-USD,0.33571492239957695,10.0
139,UMA-USD,SOL-USD,0.0970861187484429,10.0
140,UMA-USD,AAVE-USD,0.0271251493033919,7.0
141,UMA-USD,1INCH-USD,3.824219207913124,7.0
142,BTC-USD,DOT-USD,3578.1098332588926,7.0
143,BTC-USD,CRV-USD,22893.52635084943,6.0
144,BTC-USD,SOL-USD,1035.0431304363065,6.0
145,BTC-USD,DOGE-USD,291948.5919108818,9.0
146,BTC-USD,AAVE-USD,289.24122022485165,2.0
147,BTC-USD,1INCH-USD,40734.26265308189,8.0
148,DOT-USD,MATIC-USD,5.209860881762705,8.0
149,DOT-USD,1INCH-USD,11.38371969781165,12.0
150,DOT-USD,AVAX-USD,0.36204560534333374,14.0
151,CRV-USD,1INCH-USD,1.7783092750987586,20.0
152,SOL-USD,1INCH-USD,39.351663898257605,14.0
153,DOGE-USD,LTC-USD,0.0008373053713473951,9.0
154,DOGE-USD,AAVE-USD,0.0009569618410699566,11.0
155,DOGE-USD,UNI-USD,0.011685366825368795,10.0
156,DOGE-USD,MATIC-USD,0.06164253919363644,11.0
157,DOGE-USD,1INCH-USD,0.13470511710542898,12.0
158,DOGE-USD,AVAX-USD,0.004280022635335599,12.0
159,DOGE-USD,ETH-USD,4.785212395457434e-05,9.0
160,MATIC-USD,1INCH-USD,2.1841176089748178,15.0
161,MATIC-USD,AVAX-USD,0.06947805972528205,14.0
